,label,abcd_var
0,b'Unknown',
1,b'G_and_S_frontomargin',mrisdp_1
2,b'G_and_S_occipital_inf',mrisdp_2
3,b'G_and_S_paracentral',mrisdp_3
4,b'G_and_S_subcentral',mrisdp_4
5,b'G_and_S_transv_frontopol',mrisdp_5
6,b'G_and_S_cingul-Ant',mrisdp_6
7,b'G_and_S_cingul-Mid-Ant',mrisdp_7
8,b'G_and_S_cingul-Mid-Post',mrisdp_8
9,b'G_cingul-Post-dorsal',mrisdp_9
10,b'G_cingul-Post-ventral',mrisdp_10
11,b'G_cuneus',mrisdp_11
12,b'G_front_inf-Opercular',mrisdp_12
13,b'G_front_inf-Orbital',mrisdp_13
14,b'G_front_inf-Triangul',mrisdp_14
15,b'G_front_middle',mrisdp_15
16,b'G_front_sup',mrisdp_16
17,b'G_Ins_lg_and_S_cent_ins',mrisdp_17
18,b'G_insular_short',mrisdp_18
19,b'G_occipital_middle',mrisdp_19
20,b'G_occipital_sup',mrisdp_20
21,b'G_oc-temp_lat-fusifor',mrisdp_21
22,b'G_oc-temp_med-Lingual',mrisdp_22
23,b'G_oc-temp_med-Parahip',mrisdp_23
24,b'G_orbital',mrisdp_24
25,b'G_pariet_inf-Angular',mrisdp_25
26,b'G_pariet_inf-Supramar',mrisdp_26
27,b'G_parietal_sup',mrisdp_27
28,b'G_postcentral',mrisdp_28
29,b'G_precentral',mrisdp_29
30,b'G_precuneus',mrisdp_30
31,b'G_rectus',mrisdp_31
32,b'G_subcallosal',mrisdp_32
33,b'G_temp_sup-G_T_transv',mrisdp_33
34,b'G_temp_sup-Lateral',mrisdp_34
35,b'G_temp_sup-Plan_polar',mrisdp_35
36,b'G_temp_sup-Plan_tempo',mrisdp_36
37,b'G_temporal_inf',mrisdp_37
38,b'G_temporal_middle',mrisdp_38
39,b'Lat_Fis-ant-Horizont',mrisdp_39
40,b'Lat_Fis-ant-Vertical',mrisdp_40
41,b'Lat_Fis-post',mrisdp_41
42,b'Medial_wall',
43,b'Pole_occipital',mrisdp_42
44,b'Pole_temporal',mrisdp_43
45,b'S_calcarine',mrisdp_44
46,b'S_central',mrisdp_45
47,b'S_cingul-Marginalis',mrisdp_46
48,b'S_circular_insula_ant',mrisdp_47
49,b'S_circular_insula_inf',mrisdp_48
50,b'S_circular_insula_sup',mrisdp_49
51,b'S_collat_transv_ant',mrisdp_50
52,b'S_collat_transv_post',mrisdp_51
53,b'S_front_inf',mrisdp_52
54,b'S_front_middle',mrisdp_53
55,b'S_front_sup',mrisdp_54
56,b'S_interm_prim-Jensen',mrisdp_55
57,b'S_intrapariet_and_P_trans',mrisdp_56
58,b'S_oc_middle_and_Lunatus',mrisdp_57
59,b'S_oc_sup_and_transversal',mrisdp_58
60,b'S_occipital_ant',mrisdp_59
61,b'S_oc-temp_lat',mrisdp_60
62,b'S_oc-temp_med_and_Lingual',mrisdp_61
63,b'S_orbital_lateral',mrisdp_62
64,b'S_orbital_med-olfact',mrisdp_63
65,b'S_orbital-H_Shaped',mrisdp_64
66,b'S_parieto_occipital',mrisdp_65
67,b'S_pericallosal',mrisdp_66
68,b'S_postcentral',mrisdp_67
69,b'S_precentral-inf-part',mrisdp_68
70,b'S_precentral-sup-part',mrisdp_69
71,b'S_suborbital',mrisdp_70
72,b'S_subparietal',mrisdp_71
73,b'S_temporal_inf',mrisdp_72
74,b'S_temporal_sup',mrisdp_73
75,b'S_temporal_transverse',mrisdp_74
76,b'Unknown',
77,b'G_and_S_frontomargin',mrisdp_75
78,b'G_and_S_occipital_inf',mrisdp_76
79,b'G_and_S_paracentral',mrisdp_77
80,b'G_and_S_subcentral',mrisdp_78
81,b'G_and_S_transv_frontopol',mrisdp_79
82,b'G_and_S_cingul-Ant',mrisdp_80
83,b'G_and_S_cingul-Mid-Ant',mrisdp_81
