var,name,hemi,cog,cog2,sys
aal,Accumbens,L,reward,,basal ganglia
aalh,Accumbens,L,reward,,basal ganglia
aar,Accumbens,R,reward,,basal ganglia
aarh,Accumbens,R,reward,,basal ganglia
ablh,Accumbens,L,reward,,basal ganglia
abrh,Accumbens,R,reward,,basal ganglia
ad,Auditory Network,B,sensory,auditory,sensorimotor
ad_ngd_ad,Auditory Network- Within,B,sensory,auditory,sensorimotor
aglh,Amygdala,L,emotion,,limbic
agrh,Amygdala,R,emotion,,limbic
amygdalalh,Amugdala,L,emotion,,limbic
amygdalarh,Amygdala,R,emotion,,limbic
atrlh,Anterior Thalamic Radiation,L,executive function,,
atrrh,Anterior Thalamic Radiation,R,executive function,,
au,Auditory Network,B,sensory,auditory,sensorimotor
banksstslh,Banks of Superior Temporal Sulcus,L,visual processing,social,
banksstsrh,Banks of Superior Temporal Sulcus,R,visual processing,social,
brainstem,Brainstem,B,homeostasis,,
bs,Brainstem,B,homeostasis,,
bstem,Brainstem,B,homeostasis,,
bstslh,Banks of Superior Temporal Sulcus,L,visual processing,social,
bstsrh,Banks of Superior Temporal Sulcus,R,visual processing,social,
ca,Cinguloparietal Network,B,executive function,,higher-order cognition
caclh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,limbic
cacrh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,limbic
caudatelh,Caudate,L,reward,cognition,basal ganglia
caudaterh,Caudate,R,reward,cognition,basal ganglia
cbclh,Cerebellar Cortex,L,motor,interoception,sensorimotor
cbcrh,Cerebellar Cortex,R,motor,interoception,sensorimotor
cbwmlh,Cerebellar White Matter,L,,,
cbwmrh,Cerebellar White Matter,R,,,
cc,Corpus Callosum,B,,,
cdacatelh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,limbic
cdacaterh,Cingulate Gyrus- Caudal Anterior,R,reward,decision making,limbic
cdaclatelh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,limbic
cdaclaterh,Cingulate Gyrus- Caudal Anterior,R,reward,decision making,limbic
cdelh,Caudate,L,reward,cognition,basal ganglia
cderh,Caudate,R,reward,cognition,basal ganglia
cdlh,Caudate,L,reward,cognition,basal ganglia
cdmdflh,Middle Frontal Gyrus- Caudal,L,visual processing,attention,attention
cdmdfrh,Middle Frontal Gyrus- Caudal,R,visual processing,attention,attention
cdmdfrlh,Middle Frontal Gyrus- Caudal,L,visual processing,attention,attention
cdmdfrrh,Middle Frontal Gyrus- Caudal,R,visual processing,attention,attention
cdrh,Caudate,R,reward,cognition,basal ganglia
cerc,Cingulo-opercular Network,B,executive function,attention,attention
cgc,Cingulo-opercular Network,B,executive function,attention,attention
cgclh,Cingulum - Cinglulate,L,executive function,emotion,
cgcrh,Cingulum - Cinglulate,R,executive function,emotion,
cghlh,Cingulum - Parahippocampal,L,memory,,medial temporal lobe
cghrh,Cingulum - Parahippocampal,R,memory,,medial temporal lobe
cmflh,Middle Frontal Gyrus- Caudal,L,visual processing,attention,attention
cmfrh,Middle Frontal Gyrus- Caudal,R,visual processing,attention,attention
cnlh,Cuneus,L,visual processing,,visual
cnrh,Cuneus,R,visual processing,,visual
copa,Cinguloparietal Network,B,executive function,,higher-order cognition
crbcortexlh,Cerebellar Cortex,L,motor,interoception,sensorimotor
crbcortexrh,Cerebellar Cortex,R,motor,interoception,sensorimotor
crbwmatterlh,Cerebellar White Matter,L,,,
crbwmatterrh,Cerebellar White Matter,L,,,
crcxlh,Cerebellar Cortex,L,motor,interoception,sensorimotor
crcxrh,Cerebellar Cortex,R,motor,interoception,sensorimotor
cstlh,Corticospinal Tract,L,motor,,sensorimotor
cstrh,Corticospinal Tract,R,motor,,sensorimotor
cuneuslh,Cuneus,L,visual processing,,visual
cuneusrh,Cuneus,R,visual processing,,visual
cwmlh,Cerebral White Matter,L,,,
cwmrh,Cerebral White Matter,L,,,
df,Default Mode Network,B,memory,social,higher-order cognition
dla,Dorsal Attention Network,B,executive function,attention,attention
dlprefrlh,Dorsal Prefrontal Cortex,L,executive function,,higher-order cognition
dlprefrrh,Dorsal Prefrontal Cortex,R,executive function,,higher-order cognition
dmfrlh,Dorsomedial Frontal Cortex,L,mentalizing,,higher-order cognition
dmfrrh,Dorsomedial Frontal Cortex,R,mentalizing,,higher-order cognition
dsa,Dorsal Attention Network,B,executive function,attention,attention
dt,Default Mode Network,B,memory,social,higher-order cognition
ehinallh,Entorhinal Cortex,L,memory,,medial temporal lobe
ehinalrh,Entorhinal Cortex,R,memory,,medial temporal lobe
entorhinallh,Entorhinal Cortex,L,memory,,medial temporal lobe
entorhinalrh,Entorhinal Cortex,R,memory,,medial temporal lobe
