var,name,hemi,cog,cog2,sys
aal,Accumbens,L,reward,,basal ganglia
aalh,Accumbens,L,reward,,basal ganglia
aar,Accumbens,R,reward,,basal ganglia
aarh,Accumbens,R,reward,,basal ganglia
ablh,Accumbens,L,reward,,basal ganglia
abrh,Accumbens,R,reward,,basal ganglia
amygdalalh,Amugdala,L,emotion,,limbic
aglh,Amygdala,L,emotion,,limbic
agrh,Amygdala,R,emotion,,limbic
amygdalarh,Amygdala,R,emotion,,limbic
atrlh,Anterior Thalamic Radiation,L,executive function,,
atrrh,Anterior Thalamic Radiation,R,executive function,,
ad,Auditory Network,B,sensory,auditory,sensory/motor
au,Auditory Network,B,sensory,auditory,sensory/motor
ad_ngd_ad,Auditory Network- Within,B,sensory,auditory,sensory/motor
banksstslh,Banks of Superior Temporal Sulcus,L,visual processing,social,social
banksstsrh,Banks of Superior Temporal Sulcus,R,visual processing,social,social
bstslh,Banks of Superior Temporal Sulcus,L,visual processing,social,social
bstsrh,Banks of Superior Temporal Sulcus,R,visual processing,social,social
brainstem,Brainstem,B,homeostasis,,
bs,Brainstem,B,homeostasis,,
bstem,Brainstem,B,homeostasis,,
caudatelh,Caudate,L,reward,cognition,basal ganglia
caudaterh,Caudate,R,reward,cognition,basal ganglia
cdelh,Caudate,L,reward,cognition,basal ganglia
cderh,Caudate,R,reward,cognition,basal ganglia
cdlh,Caudate,L,reward,cognition,basal ganglia
cdrh,Caudate,R,reward,cognition,basal ganglia
cbclh,Cerebellar Cortex,L,motor,interoception,cerebellum
cbcrh,Cerebellar Cortex,R,motor,interoception,cerebellum
crbcortexlh,Cerebellar Cortex,L,motor,interoception,cerebellum
crbcortexrh,Cerebellar Cortex,R,motor,interoception,cerebellum
crcxlh,Cerebellar Cortex,L,motor,interoception,cerebellum
crcxrh,Cerebellar Cortex,R,motor,interoception,cerebellum
cbwmlh,Cerebellar White Matter,L,,,cerebellum
cbwmrh,Cerebellar White Matter,R,,,cerebellum
crbwmatterlh,Cerebellar White Matter,L,,,cerebellum
crbwmatterrh,Cerebellar White Matter,L,,,cerebellum
cwmlh,Cerebral White Matter,L,,,
cwmrh,Cerebral White Matter,L,,,
iclh,Cingulate Gyrus - Ithmus,L,executive function,reward,triple network
icrh,Cingulate Gyrus - Ithmus,R,executive function,reward,triple network
ihcatelh,Cingulate Gyrus - Ithsmus,L,executive function,reward,triple network
ihcaterh,Cingulate Gyrus - Ithsmus,R,executive function,reward,triple network
ihclatelh,Cingulate Gyrus - Ithsmus,L,executive function,reward,triple network
ihclaterh,Cingulate Gyrus - Ithsmus,R,executive function,reward,triple network
caclh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,triple network
cacrh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,triple network
cdacatelh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,triple network
cdacaterh,Cingulate Gyrus- Caudal Anterior,R,reward,decision making,triple network
cdaclatelh,Cingulate Gyrus- Caudal Anterior,L,reward,decision making,triple network
cdaclaterh,Cingulate Gyrus- Caudal Anterior,R,reward,decision making,triple network
pcglh,Cingulate Gyrus- Posterior,L,visual processing,memory,triple network
pcgrh,Cingulate Gyrus- Posterior,R,visual processing,memory,triple network
psclatelh,Cingulate Gyrus- Posterior,L,visual processing,memory,triple network
psclaterh,Cingulate Gyrus- Posterior,R,visual processing,memory,triple network
ptcatelh,Cingulate Gyrus- Posterior,L,visual processing,memory,triple network
ptcaterh,Cingulate Gyrus- Posterior,R,visual processing,memory,triple network
raclh,Cingulate Gyrus- Rostral Anterior,L,reward,error processing,triple network
racrh,Cingulate Gyrus- Rostral Anterior,R,reward,error processing,triple network
rlaclatelh,Cingulate Gyrus- Rostral Anterior,L,reward,error processing,triple network
rlaclaterh,Cingulate Gyrus- Rostral Anterior,R,reward,error processing,triple network
rracatelh,Cingulate Gyrus- Rostral Anterior,L,reward,error processing,triple network
rracaterh,Cingulate Gyrus- Rostral Anterior,R,reward,error processing,triple network
cerc,Cingulo-opercular Network,B,executive function,attention,executive function
cgc,Cingulo-opercular Network,B,executive function,attention,executive function
ca,Cinguloparietal Network,B,executive function,,executive function
copa,Cinguloparietal Network,B,executive function,,executive function
cgclh,Cingulum - Cinglulate,L,executive function,emotion,
cgcrh,Cingulum - Cinglulate,R,executive function,emotion,
cghlh,Cingulum - Parahippocampal,L,memory,,medial temporal lobe
cghrh,Cingulum - Parahippocampal,R,memory,,medial temporal lobe
cc,Corpus Callosum,B,,,
cstlh,Corticospinal Tract,L,motor,,sensory/motor
cstrh,Corticospinal Tract,R,motor,,sensory/motor
cnlh,Cuneus,L,visual processing,,sensory/motor
cnrh,Cuneus,R,visual processing,,sensory/motor
